REFERÊNCIA;NOMEPRODUTO;CATEGORIA;ESTOQUE;PRECOATACADO;PRECODROPSHIPPING;STATUSPROMOCAO;MARCA;DESCRICAO;DIMENSAOCAIXACM;PESOGRAMAS;DATACADASTRO;REPOSICAOESTOQUE;URLPRODUTO;FOTOS
SC014C;Sapato Scarpin;Sapato Scarpin;34,7|35,10|36,10|37,10|38,10|39,7;79.90;87.89;0;Torricella;Material: Verniz Off White / Vinil<br />Palmilha: 8 mm de Espessura, Espuma em EVA, Revestida em Verniz Off White e Taloneira Napa Bege<br />Forro: Napa Bege<br />Salto: Fino com 9,5 cm de Altura e Revestido em Verniz Off White<br />Solado de Micro na cor Bege.;28 x 20 x 9.5;600;02/12/2021;0;https://www.revendadecalcados.com.br/produto-7392.html;https://www.revendadecalcados.com.br/fma600/6e55f5744d76642864605ca6c137bba0.jpg,https://www.revendadecalcados.com.br/fma600/ea92b5ec0348c3a66593984b02deabe4.jpg,https://www.revendadecalcados.com.br/fma600/075d391f8a0b285963a846126c2382fc.jpg,https://www.revendadecalcados.com.br/fma600/6efcd6b77e918bdd0c5afb355541cbf1.jpg,https://www.revendadecalcados.com.br/fma600/05a03e89bb3e58df477083c2a29eb0b2.jpg
SC014B;Sapato Scarpin;Sapato Scarpin;34,5|35,9|36,10|37,10|38,10|39,5;79.90;87.89;0;Torricella;Material: Verniz Vermelho / Vinil<br />Palmilha: 8 mm de Espessura, Espuma em EVA, Revestida em Verniz Vermelho e Taloneira Napa Bege<br />Forro: Napa Bege<br />Salto: Fino com 9,5 cm de Altura e Revestido em Verniz Vermelho<br />Solado de Micro na cor Bege.;28 x 20 x 9.5;600;02/12/2021;0;https://www.revendadecalcados.com.br/produto-7391.html;https://www.revendadecalcados.com.br/fma600/2ee9cbc0bcd5022e7e13879c43a5f5a5.jpg,https://www.revendadecalcados.com.br/fma600/9d2aede40e4a15a7255c55d043d8161b.jpg,https://www.revendadecalcados.com.br/fma600/4ce9d46503035dd526b9eeb7a7830d52.jpg,https://www.revendadecalcados.com.br/fma600/3091df7def1872d97fd0227a6188dcab.jpg,https://www.revendadecalcados.com.br/fma600/e27595eadadc4e127e27be4c43111391.jpg
SC014A;Sapato Scarpin;Sapato Scarpin;34,6|35,10|36,10|37,10|38,10|39,7;79.90;87.89;0;Torricella;Material: Verniz Preto / Vinil<br />Palmilha: 8 mm de Espessura, Espuma em EVA, Revestida em Verniz Preto e Taloneira Napa Bege<br />Forro: Napa Bege<br />Salto: Fino com 9,5 cm de Altura e Revestido em Verniz Preto<br />Solado de Micro na cor Preto.;28 x 20 x 9.5;600;02/12/2021;0;https://www.revendadecalcados.com.br/produto-7390.html;https://www.revendadecalcados.com.br/fma600/a838fbfaa93d8208e9247b5d452faa13.jpg,https://www.revendadecalcados.com.br/fma600/7198691209fe5f55562fc4a1c04f87d7.jpg,https://www.revendadecalcados.com.br/fma600/0affe62a6eceab35a49c17a728417108.jpg,https://www.revendadecalcados.com.br/fma600/a2897ae88ac34c5da5399a45c01b87a0.jpg,https://www.revendadecalcados.com.br/fma600/bdf131bb913555d10027f625a4c595a2.jpg
SL008D;T�nis Feminino;T�nis;34,3|35,5|36,8|37,8|38,4|39,2;79.90;87.89;0;Torricella;Material: Tecido Lona Azul<br />Enfeite: Apliques em Hotfix Coloridos e el�stico branco<br />Palmilha: 4 mm de Espessura na cor Bege<br />Forro: Cacharrel, material espumado para maior conforto, na cor Bege<br />Salto / Solado: 4 cm de Altura, PVC Flex�vel com antiderrapante na cor branco e detalhe pintado na cor Azul.;28 x 20 x 9.5;600;09/11/2021;0;https://www.revendadecalcados.com.br/produto-7285.html;https://www.revendadecalcados.com.br/fma600/62caac2bf08e6756ecafbcc9dacb1558.jpg,https://www.revendadecalcados.com.br/fma600/c6404ee7bd164734b196a19f81cca337.jpg,https://www.revendadecalcados.com.br/fma600/479c74748998117671a17e765aa35dbf.jpg,https://www.revendadecalcados.com.br/fma600/f38a0392883de65c56ce4bd55c7b3f97.jpg,https://www.revendadecalcados.com.br/fma600/d9c72a0f02c42ddada0f1e0be4e6db32.jpg
SL008C;T�nis Feminino;T�nis;34,2|35,6|36,9|37,6|38,5|39,2;79.90;87.89;0;Torricella;Material: Tecido Lona Rosa<br />Enfeite: Apliques em Hotfix Coloridos e el�stico branco<br />Palmilha: 4 mm de Espessura na cor Bege<br />Forro: Cacharrel, material espumado para maior conforto, na cor Bege<br />Salto / Solado: 4 cm de Altura, PVC Flex�vel com antiderrapante na cor branco e detalhe pintado na cor Rosa.;28 x 20 x 9.5;600;09/11/2021;0;https://www.revendadecalcados.com.br/produto-7284.html;https://www.revendadecalcados.com.br/fma600/b609378b671bba90c5579811762cb1ec.jpg,https://www.revendadecalcados.com.br/fma600/a4d65642cfb2cd36b60ab721b0bf4696.jpg,https://www.revendadecalcados.com.br/fma600/35727e0d73ccac6d2eda8a24f6013275.jpg,https://www.revendadecalcados.com.br/fma600/14333969d981625c1c216477eb318b5f.jpg
SL008B;T�nis Feminino;T�nis;34,2|35,6|36,4|37,4|38,5|39,3;79.90;87.89;0;Torricella;Material: Tecido Lona Verde<br />Enfeite: Apliques em Hotfix Coloridos e el�stico branco<br />Palmilha: 4 mm de Espessura na cor Bege<br />Forro: Cacharrel, material espumado para maior conforto, na cor Bege<br />Salto / Solado: 4 cm de Altura, PVC Flex�vel com antiderrapante na cor branco e detalhe pintado na cor Verde.;28 x 20 x 9.5;600;09/11/2021;0;https://www.revendadecalcados.com.br/produto-7283.html;https://www.revendadecalcados.com.br/fma600/bb66a2620ba5aed9f9aa99f53df0558d.jpg,https://www.revendadecalcados.com.br/fma600/fcdaf0911b200bca1ef72b7e614c9176.jpg,https://www.revendadecalcados.com.br/fma600/e6b7d90ef15088ccc5b2914663f55e92.jpg,https://www.revendadecalcados.com.br/fma600/cc23d9b15c178ad5610bae7316834878.jpg,https://www.revendadecalcados.com.br/fma600/98935701cbcc1820f482dda2cf60c213.jpg
SL008A;T�nis Feminino;T�nis;34,4|35,4|36,6|37,6|38,5|39,4;79.90;87.89;0;Torricella;Material: Tecido Lona Rosa Pastel<br />Enfeite: Apliques em Hotfix Coloridos e el�stico branco<br />Palmilha: 4 mm de Espessura na cor Bege<br />Forro: Cacharrel, material espumado para maior conforto, na cor Bege<br />Salto / Solado: 4 cm de Altura, PVC Flex�vel com antiderrapante na cor branco e detalhe pintado na cor Rosa Pastel.;28 x 20 x 9.5;600;09/11/2021;0;https://www.revendadecalcados.com.br/produto-7282.html;https://www.revendadecalcados.com.br/fma600/8f2cf320d85771c9decfc95b525933fc.jpg,https://www.revendadecalcados.com.br/fma600/7aa88b491b96cfc82bb544a2be1edb5a.jpg,https://www.revendadecalcados.com.br/fma600/6ef7cfb72a50771cb38f2e872f2f4b92.jpg,https://www.revendadecalcados.com.br/fma600/bf23d68b20d4c5ab765a6b0012a02707.jpg,https://www.revendadecalcados.com.br/fma600/8e1ac4a2543f535000f2b944af336828.jpg
SL003D;T�nis Feminino;T�nis;34,2|35,5|36,6|37,8|38,4|39,3;79.90;87.89;0;Torricella;Material: Tecido Lona Azul<br />Enfeite: Apliques em Hotfix Prata / Mini Pir�mides Branco e el�stico branco<br />Palmilha: 4 mm de Espessura na cor Bege<br />Forro: Cacharrel, material espumado para maior conforto, na cor Bege<br />Salto / Solado: 4 cm de Altura, PVC Flex�vel com antiderrapante na cor branco e detalhe pintado na cor Azul.;28 x 20 x 9.5;600;09/11/2021;0;https://www.revendadecalcados.com.br/produto-7280.html;https://www.revendadecalcados.com.br/fma600/6b810c2d436c097bc581c3aa48b19983.jpg,https://www.revendadecalcados.com.br/fma600/8e2317fad78c330e1d800eaecb9fc5f4.jpg,https://www.revendadecalcados.com.br/fma600/34c2c55aa76393d1e7e6acfa45d50bf6.jpg,https://www.revendadecalcados.com.br/fma600/bf8f20d49c1e8acc3ec84b1fcafd69a7.jpg,https://www.revendadecalcados.com.br/fma600/d0ef3f21dc16d31a7db6d969470e36a2.jpg
SL003C;T�nis Feminino;T�nis;34,2|35,4|36,7|37,7|38,6|39,3;79.90;87.89;0;Torricella;Material: Tecido Lona Rosa<br />Enfeite: Apliques em Hotfix Prata / Mini Pir�mides Branco e el�stico branco<br />Palmilha: 4 mm de Espessura na cor Bege<br />Forro: Cacharrel, material espumado para maior conforto, na cor Bege<br />Salto / Solado: 4 cm de Altura, PVC Flex�vel com antiderrapante na cor branco e detalhe pintado na cor Rosa.;28 x 20 x 9.5;600;09/11/2021;0;https://www.revendadecalcados.com.br/produto-7279.html;https://www.revendadecalcados.com.br/fma600/0769d73b3b4f9b5e8b674c9fa5230d82.jpg,https://www.revendadecalcados.com.br/fma600/5d83e52cc079c6df4e971efca9d9dca0.jpg,https://www.revendadecalcados.com.br/fma600/089eaca318018f1f4a78faf206999a45.jpg,https://www.revendadecalcados.com.br/fma600/d0015b5152cdf3271f5040e5e161d1ba.jpg,https://www.revendadecalcados.com.br/fma600/96054095dd26fb3d47ed41159d083f7e.jpg
SL003B;T�nis Feminino;T�nis;34,3|35,4|36,5|37,6|38,5|39,1;79.90;87.89;0;Torricella;Material: Tecido Lona Verde<br />Enfeite: Apliques em Hotfix Prata / Mini Pir�mides Branco e el�stico branco<br />Palmilha: 4 mm de Espessura na cor Bege<br />Forro: Cacharrel, material espumado para maior conforto, na cor Bege<br />Salto / Solado: 4 cm de Altura, PVC Flex�vel com antiderrapante na cor branco e detalhe pintado na cor Verde.;28 x 20 x 9.5;600;09/11/2021;0;https://www.revendadecalcados.com.br/produto-7278.html;https://www.revendadecalcados.com.br/fma600/107b573944e6dacbe049fbd41eccf575.jpg,https://www.revendadecalcados.com.br/fma600/c075964e7555eae3627cd3fad8165b14.jpg,https://www.revendadecalcados.com.br/fma600/1aa1d061f435b7b6b1e6baf860091f97.jpg,https://www.revendadecalcados.com.br/fma600/d114d52dfc7e8188a0bc9c57b0558ae7.jpg,https://www.revendadecalcados.com.br/fma600/c4d2f917fabdfa34472acfed5b3632dd.jpg
SL003A;T�nis Feminino;T�nis;34,2|35,8|36,10|37,9|38,7|39,1;79.90;87.89;0;Torricella;Material: Tecido Lona Rosa Pastel<br />Enfeite: Apliques em Hotfix Prata / Mini Pir�mides Branco e el�stico branco<br />Palmilha: 4 mm de Espessura na cor Bege<br />Forro: Cacharrel, material espumado para maior conforto, na cor Bege<br />Salto / Solado: 4 cm de Altura, PVC Flex�vel com antiderrapante na cor branco e detalhe pintado na cor Rosa Pastel.;28 x 20 x 9.5;600;09/11/2021;0;https://www.revendadecalcados.com.br/produto-7277.html;https://www.revendadecalcados.com.br/fma600/b1fb91ac1adfe0208bb2b1672a922871.jpg,https://www.revendadecalcados.com.br/fma600/6e2e898398a704d2b44f88046342855d.jpg,https://www.revendadecalcados.com.br/fma600/47bfca45f96ce244e167b71ba2a04691.jpg,https://www.revendadecalcados.com.br/fma600/33bf528d129d619fe69d82927751649d.jpg,https://www.revendadecalcados.com.br/fma600/0756a66683d91f6a73cf3af2576b1f79.jpg
67011A;Sapato Scarpin;Sapato Scarpin;34,5|35,10|36,10|37,10|38,9|39,5;79.90;87.89;0;Torricella;"Material: Napa Lemon / Napa Preto / Tecido Estampado ""Vaquinha""<br />Palmilha: 8 mm de Espessura, Espuma em EVA, Revestida em Napa Croco Caramelo e Taloneira Napa Bege<br />Enfeite: Pom Pom na cor Laranja e Tira do Cord�o em Napa Preto<br />Salto: 9 cm de Altura Revestido em Napa Preto<br />Solado de TR coletado na cor Preto.";28 x 20 x 9.5;600;08/10/2021;0;https://www.revendadecalcados.com.br/produto-7207.html;https://www.revendadecalcados.com.br/fma600/cc120203483556097840e76842dbb273.jpg,https://www.revendadecalcados.com.br/fma600/da64e3b86446a2d45d9aa550c31640b2.jpg,https://www.revendadecalcados.com.br/fma600/d184cbafbfd41b6a10489913e3590119.jpg,https://www.revendadecalcados.com.br/fma600/93093d12e29e410951cb09ec6338a9ef.jpg,https://www.revendadecalcados.com.br/fma600/c1a22151f649c9162ddb769d353b1e50.jpg,https://www.revendadecalcados.com.br/fma600/1b4e3bcce82f8439cc357266b2844440.jpg
67010B;Sapato Scarpin;Sapato Scarpin;34,7|35,10|36,10|37,10|38,10|39,7;79.90;87.89;0;Torricella;Material: Nobuck Preto<br />Palmilha: 8 mm de Espessura, Espuma em EVA, Revestida em Metalizado Specchio Dourado e Taloneira Napa Bege<br />Enfeite: Tiras em Verniz Preto e Metalizado Specchio Dourado<br />Salto: 9 cm de Altura Revestido em Nobuck Preto<br />Solado de TR coletado na cor Preto.;28 x 20 x 9.5;600;08/10/2021;0;https://www.revendadecalcados.com.br/produto-7206.html;https://www.revendadecalcados.com.br/fma600/9e04a4bdd6d04585b690b1ec829b3002.jpg,https://www.revendadecalcados.com.br/fma600/2a44a978c64555ccc76f80a8e4d13b4d.jpg,https://www.revendadecalcados.com.br/fma600/f0a2483a531b7330088c47ac78e9b7c8.jpg,https://www.revendadecalcados.com.br/fma600/d679dcce5e8914ec68677424effeb4ec.jpg,https://www.revendadecalcados.com.br/fma600/1565b9c0b19c19612e165d0e6fb8fce1.jpg
67010A;Sapato Scarpin;Sapato Scarpin;34,8|35,9|36,10|37,10|38,10|39,7;79.90;87.89;0;Torricella;Material: Napa Creme Bege Claro<br />Palmilha: 8 mm de Espessura, Espuma em EVA, Revestida em Metalizado Specchio Dourado e Taloneira Napa Bege<br />Enfeite: Tiras coloridas em Napa Off White, Napa Azul, Napa Rosa, Napa Verde e Metalizado Specchio Dourado<br />Salto: 9 cm de Altura Revestido em Napa Creme Bege Claro<br />Solado de TR coletado na cor Bege.;28 x 20 x 9.5;600;08/10/2021;0;https://www.revendadecalcados.com.br/produto-7205.html;https://www.revendadecalcados.com.br/fma600/634f320a13afe01e00959ad14cf3cd9a.jpg,https://www.revendadecalcados.com.br/fma600/cf9552c7c994844f74088eeca4fc53c2.jpg,https://www.revendadecalcados.com.br/fma600/35cd46c8d5bbf085eff363af209cbb2c.jpg,https://www.revendadecalcados.com.br/fma600/567b8fa384dbc2b833a64c8429a49ba5.jpg,https://www.revendadecalcados.com.br/fma600/b9ee24e9cec28769ee2ed7ee491e368e.jpg
67000C;Sapato Scarpin Chanel;Sapato Scarpin;34,1|35,6|36,7|37,4|38,7|39,2;79.90;87.89;0;Torricella;Material: Nobuck Preto<br />Palmilha: 8 mm de Espessura, Espuma em EVA, Revestida em Nobuck Preto e Taloneira Napa Bege<br />Enfeite: Perola em ABS<br />Salto: 9 cm de Altura Revestido em Metalizado Nobuck Preto<br />Solado de TR na cor Preto.;28 x 20 x 9.5;600;26/04/2021;0;https://www.revendadecalcados.com.br/produto-7035.html;https://www.revendadecalcados.com.br/fma600/ac804b59dcac28650a340eb944829a72.jpg,https://www.revendadecalcados.com.br/fma600/5561a137fecccdfd291d99e904bee8f9.jpg,https://www.revendadecalcados.com.br/fma600/2814fbf4b7594ecc3af429016871aca7.jpg,https://www.revendadecalcados.com.br/fma600/fe694875000cfda43be78f14cdbec5d3.jpg,https://www.revendadecalcados.com.br/fma600/dc78d34398f0feb9486f6cc347b00e9b.jpg
200.107A;Sand�lia Anabela Feminina;Anabela;34,1|35,3|36,5|37,7|38,7|39,1;79.90;87.89;0;Torricella;Material: Napa Vermelho<br />Enfeite: Fivela de ajuste na cor Dourado<br />Palmilha: 4 mm de Espessura, Espuma em EVA, Revestida em Napa Vermelho e Taloneira Napa Bege<br />Plataforma: Traseiro / Salto com 11,5 cm de Altura, Frente 3 cm de altura Revestido em Corda na Cor Bege<br />Solado de TR na cor Bege.;28.5 x 23.5 x 9.5;800;09/12/2020;0;https://www.revendadecalcados.com.br/produto-6790.html;https://www.revendadecalcados.com.br/fma600/636b346e8130bc6cd254d75356811f23.jpg,https://www.revendadecalcados.com.br/fma600/2425b2af269ccaef158c018d5d73b602.jpg,https://www.revendadecalcados.com.br/fma600/13dcf549818eba3ef33ff736f7f37d93.jpg,https://www.revendadecalcados.com.br/fma600/555f30a670733265965bb33258a20cd2.jpg,https://www.revendadecalcados.com.br/fma600/9e9465a515e1e4137d5e8e5ea899107c.jpg,https://www.revendadecalcados.com.br/fma600/4090b25912b794def3005c36e3dd5721.jpg
T0049;T�nis Feminino;T�nis;34,1|35,5|36,9|37,4|38,1|39,4;79.90;87.89;0;Torricella;Material: Napa Branco e Napa Preto<br />Enfeite: Cadar�o Preto, passante na cor Dourado e costura na cor Branco<br />Palmilha: 4 mm de Espessura na cor Branco<br />Forro: Cacharrel, material espumado para maior conforto, na cor Branco<br />Salto / Solado: 4 cm de Altura, PVC Flex�vel, antiderrapante, na cor branco.;28 x 20 x 9.5;600;24/11/2020;0;https://www.revendadecalcados.com.br/produto-6749.html;https://www.revendadecalcados.com.br/fma600/8a63d2416e75560bab1696e275798660.jpg,https://www.revendadecalcados.com.br/fma600/c8490ae3a7ecca36a304013800614c00.jpg,https://www.revendadecalcados.com.br/fma600/6419f178b4a13df9f5dad255c1d2137b.jpg,https://www.revendadecalcados.com.br/fma600/7efcabcacb3b684dc8d77939df4e44e0.jpg,https://www.revendadecalcados.com.br/fma600/6f9757f3f9e6f527a5ca5496cf2d54e4.jpg
365.1508C;Sand�lia Rasteira;Rasteiras;34,4|35,8|36,10|37,10|38,3|39,4;77.90;85.69;0;Torricella;Material: Napa Off White<br />Enfeite: Tira de Amarrar na Cor Napa Off White<br />Palmilha: 8 mm de Espessura, Espuma em EVA, Revestida em Napa Off White<br />Solado em TR na Cor Bege.;28 x 20 x 9.5;600;14/09/2020;0;https://www.revendadecalcados.com.br/produto-6517.html;https://www.revendadecalcados.com.br/fma600/327e10a43bf8e73046d17ae854ae2e2c.jpg,https://www.revendadecalcados.com.br/fma600/5d6043d76f562a16857d749cf57101cb.jpg,https://www.revendadecalcados.com.br/fma600/f26b1ba5ef65b031411e86359f67ae9a.jpg,https://www.revendadecalcados.com.br/fma600/c6b120ab51418d1f18f6809109d58097.jpg,https://www.revendadecalcados.com.br/fma600/154269a9ca57f75f24124d45de41428a.jpg,https://www.revendadecalcados.com.br/fma600/2b80658eeb4d78c903306734ab2893e2.jpg,https://www.revendadecalcados.com.br/fma600/bf06f0de1c34bae9fae24e21bb59d34a.jpg,https://www.revendadecalcados.com.br/fma600/8b63634637a6a4efd93a274d5a4ca78d.jpg
365.1508B;Sand�lia Rasteira;Rasteiras;34,3|35,2|36,10|37,7|38,2|39,2;77.90;85.69;0;Torricella;Material: Napa Preto<br />Enfeite: Tira de Amarrar na Cor Napa Preto<br />Palmilha: 8 mm de Espessura, Espuma em EVA, Revestida em Napa Preto<br />Solado em TR na Cor Bege.;28 x 20 x 9.5;600;14/09/2020;0;https://www.revendadecalcados.com.br/produto-6516.html;https://www.revendadecalcados.com.br/fma600/377931ff98f2c4e1b088bcf8bfdd7237.jpg,https://www.revendadecalcados.com.br/fma600/cef1ccbdde92753d948019609123389c.jpg,https://www.revendadecalcados.com.br/fma600/78f4967a34dc70fd766451e0cdd70a83.jpg,https://www.revendadecalcados.com.br/fma600/ddaebdf6b855a50fc8780a22d4fa8acd.jpg,https://www.revendadecalcados.com.br/fma600/017ab8780e2de1648541b879b2db4389.jpg,https://www.revendadecalcados.com.br/fma600/71f8df4a9698d6f9dc8ad04c793549fa.jpg,https://www.revendadecalcados.com.br/fma600/3cabaf59c278a6edc63d112d91135aeb.jpg,https://www.revendadecalcados.com.br/fma600/b8899d45d0832e8921a424db4e3f112a.jpg
365.1508A;Sand�lia Rasteira;Rasteiras;34,2|35,7|36,8|37,10|38,4|39,1;77.90;85.69;0;Torricella;Material: Napa Rose<br />Enfeite: Tira de Amarrar na Cor Napa Rose<br />Palmilha: 8 mm de Espessura, Espuma em EVA, Revestida em Napa Rose<br />Solado em TR na Cor Bege.;28 x 20 x 9.5;600;14/09/2020;0;https://www.revendadecalcados.com.br/produto-6515.html;https://www.revendadecalcados.com.br/fma600/256ddb0ca3f16c1d7f4ef9df346a0868.jpg,https://www.revendadecalcados.com.br/fma600/6116f8081c3147cd9650718af8899865.jpg,https://www.revendadecalcados.com.br/fma600/b32464bf3387e9b574ddc1cf4d897bc0.jpg,https://www.revendadecalcados.com.br/fma600/a3f03a70bb27404667e6368414b99a68.jpg,https://www.revendadecalcados.com.br/fma600/85a422e8a48bdb0cdffe8ab35b6c4310.jpg,https://www.revendadecalcados.com.br/fma600/014c39e2c4d29c2ebc496bac97acc2cc.jpg,https://www.revendadecalcados.com.br/fma600/e837105f9864cb1c1c9c9688abc3cedd.jpg,https://www.revendadecalcados.com.br/fma600/22295c380a48e73d2bec552d9a48191c.jpg
35.016C;Sand�lia Tamanco Feminino;Sand�lias;34,5|35,8|36,10|37,10|38,9|39,4;76.90;84.59;0;Torricella;Material: Napa Rose<br />Enfeite: Tiras tran�adas em Napa Rose<br />Palmilha: 8 mm de Espessura, Espuma em EVA, Revestida em Napa Rose e Taloneira Napa Bege<br />Salto: 7,5 cm de Altura Revestido em Napa Rose<br />Solado de Micro cor Bege.;28 x 20 x 9.5;600;25/01/2022;0;https://www.revendadecalcados.com.br/produto-7494.html;https://www.revendadecalcados.com.br/fma600/9b48ce191187061ed421bb0fa1935ce0.jpg,https://www.revendadecalcados.com.br/fma600/f238ce8af2f167b28961c86ff7635729.jpg,https://www.revendadecalcados.com.br/fma600/31d769d7881a649a2f831983aab13251.jpg,https://www.revendadecalcados.com.br/fma600/9735cbbb883310f671c9c4c5886eb38a.jpg,https://www.revendadecalcados.com.br/fma600/3bd9e8618a619a6e6b31753f4c6736da.jpg
35.016B;Sand�lia Tamanco Feminino;Sand�lias;34,5|35,7|36,10|37,10|38,6|39,5;76.90;84.59;0;Torricella;Material: Napa Preto<br />Enfeite: Tiras tran�adas em Napa Preto<br />Palmilha: 8 mm de Espessura, Espuma em EVA, Revestida em Napa Preto e Taloneira Napa Bege<br />Salto: 7,5 cm de Altura Revestido em Napa Preto<br />Solado de Micro cor Preto.;28 x 20 x 9.5;600;25/01/2022;0;https://www.revendadecalcados.com.br/produto-7493.html;https://www.revendadecalcados.com.br/fma600/0ce0da91568a11eceac538753aed18a1.jpg,https://www.revendadecalcados.com.br/fma600/17d0a5850d830dee545a7a77883e99b0.jpg,https://www.revendadecalcados.com.br/fma600/8de4b1fc15bf5dceb63410d7b0cfbf89.jpg,https://www.revendadecalcados.com.br/fma600/e0256e58e0b81beb901bf348a6a3a3c6.jpg,https://www.revendadecalcados.com.br/fma600/6df312a4ce925a2e152118bc076e48a8.jpg
35.016A;Sand�lia Tamanco Feminino;Sand�lias;34,5|35,10|36,10|37,10|38,10|39,3;76.90;84.59;0;Torricella;Material: Napa Marrom<br />Enfeite: Tiras tran�adas em Napa Marrom<br />Palmilha: 8 mm de Espessura, Espuma em EVA, Revestida em Napa Marrom e Taloneira Napa Bege<br />Salto: 7,5 cm de Altura Revestido em Napa Marrom<br />Solado de Micro cor Bege.;28 x 20 x 9.5;600;25/01/2022;0;https://www.revendadecalcados.com.br/produto-7492.html;https://www.revendadecalcados.com.br/fma600/0d4e9c96377e59641866690bdf75e1c2.jpg,https://www.revendadecalcados.com.br/fma600/3b825a8a9e6d481018881909e25afc7f.jpg,https://www.revendadecalcados.com.br/fma600/a492883ec6690ff3d8d915963bc8a4f8.jpg,https://www.revendadecalcados.com.br/fma600/bc5509ea648e78e529a19289a6d0b986.jpg,https://www.revendadecalcados.com.br/fma600/6192a85cd3bced424467d5dd27da1efb.jpg
3000-15E;Sand�lia Feminina;Sand�lias;34,5|35,10|36,10|37,10|38,10|39,5;76.90;84.59;0;Torricella;Material: Napa Rosa<br />Palmilha: 8 mm de Espessura, Espuma em EVA, Revestida em Napa Rosa e Taloneira Napa Bege<br />Enfeite: Z�per no traseiro na cor Bege<br />Salto: 8 cm de Altura Revestido em Napa Rosa<br />Solado de PVC com antiderrapante na cor Bege.;28.5 x 23.5 x 9.5;800;10/01/2022;0;https://www.revendadecalcados.com.br/produto-7471.html;https://www.revendadecalcados.com.br/fma600/dcebd759a742ea2ab3ec92dd406ad78a.jpg,https://www.revendadecalcados.com.br/fma600/2073f28ad485261d32cd7ff04b13fc5d.jpg,https://www.revendadecalcados.com.br/fma600/b6ac0ddeaccd9c6d96be5dbecb8eeb86.jpg,https://www.revendadecalcados.com.br/fma600/264bf3c35e66260d365b878fb48424db.jpg,https://www.revendadecalcados.com.br/fma600/9705fb2a6e7a4c11a8a89675c4abd7b1.jpg
3000-15D;Sand�lia Feminina;Sand�lias;34,3|35,6|36,8|37,7|38,6|39,3;76.90;84.59;0;Torricella;Material: Napa Lemon<br />Palmilha: 8 mm de Espessura, Espuma em EVA, Revestida em Napa Lemon e Taloneira Napa Bege<br />Enfeite: Z�per no traseiro na cor Bege<br />Salto: 8 cm de Altura Revestido em Napa Lemon<br />Solado de PVC com antiderrapante na cor Bege.;28.5 x 23.5 x 9.5;800;10/01/2022;0;https://www.revendadecalcados.com.br/produto-7470.html;https://www.revendadecalcados.com.br/fma600/a1a778b6c351e5549193018fd73dfa4f.jpg,https://www.revendadecalcados.com.br/fma600/2c8fde7dccfcbb097e90b6f4aa068b5d.jpg,https://www.revendadecalcados.com.br/fma600/771920d8e0435c2de6d2655081770d67.jpg,https://www.revendadecalcados.com.br/fma600/219762de94e5a74b5642aa4a73e10759.jpg,https://www.revendadecalcados.com.br/fma600/966b27c1ae47aeb48755399972fc3bb6.jpg
3000-15C;Sand�lia Feminina;Sand�lias;34,5|35,10|36,10|37,10|38,10|39,5;76.90;84.59;0;Torricella;Material: Napa Branco<br />Palmilha: 8 mm de Espessura, Espuma em EVA, Revestida em Napa Branco e Taloneira Napa Bege<br />Enfeite: Z�per no traseiro na cor Bege<br />Salto: 8 cm de Altura Revestido em Napa Branco<br />Solado de PVC com antiderrapante na cor Bege.;28.5 x 23.5 x 9.5;800;10/01/2022;0;https://www.revendadecalcados.com.br/produto-7469.html;https://www.revendadecalcados.com.br/fma600/808a6be7546d7aa86f3fc02715c765d5.jpg,https://www.revendadecalcados.com.br/fma600/264f3897f099f0e14084307eb89bae36.jpg,https://www.revendadecalcados.com.br/fma600/ee7d62fe5ff459613be0c3af1ffff346.jpg,https://www.revendadecalcados.com.br/fma600/801449e97b1803f1fd341043f6308bf3.jpg,https://www.revendadecalcados.com.br/fma600/c7765322a63e6d17001d214370a2136f.jpg
3000-15B;Sand�lia Feminina;Sand�lias;34,5|35,10|36,10|37,10|38,10|39,5;76.90;84.59;0;Torricella;Material: Napa Bege<br />Palmilha: 8 mm de Espessura, Espuma em EVA, Revestida em Napa Bege e Taloneira Napa Bege<br />Enfeite: Z�per no traseiro na cor Bege<br />Salto: 8 cm de Altura Revestido em Napa Bege<br />Solado de PVC com antiderrapante na cor Bege.;28.5 x 23.5 x 9.5;800;10/01/2022;0;https://www.revendadecalcados.com.br/produto-7468.html;https://www.revendadecalcados.com.br/fma600/e9534f6550c9542f08121d9e27ea558a.jpg,https://www.revendadecalcados.com.br/fma600/9169358418e8086ceb7945485ea25fd8.jpg,https://www.revendadecalcados.com.br/fma600/ccf33ec2ee42fab6d0a1fac157a531ee.jpg,https://www.revendadecalcados.com.br/fma600/f8f1736406fb04944528b388d88fef1c.jpg,https://www.revendadecalcados.com.br/fma600/fa5cbd8e34cf07b5bc38387bf738ec4f.jpg
