REFERÊNCIA;NOMEPRODUTO;CATEGORIA;ESTOQUE;PRECOATACADO;PRECODROPSHIPPING;STATUSPROMOCAO;MARCA;DESCRICAO;DIMENSAOCAIXACM;PESOGRAMAS;DATACADASTRO;REPOSICAOESTOQUE;URLPRODUTO;FOTOS
FST031C;Sand�lia Tamanco Feminino;Sand�lias;34,3|35,2|36,0|37,0|38,0|39,0;49.90;54.89;0;Torricella;Material: Napa Ouro Light<br />Enfeite: Tiras entrela�adas em Napa Ouro Light<br />Palmilha: 8 mm de Espessura, Espuma em EVA, Revestida em Napa Ouro Light e Taloneira Napa Bege<br />Salto: 6 cm de Altura e Revestido em Napa Ouro Light<br />Solado de PVC com antiderrapante na cor Bege.;28 x 20 x 9.5;600;25/10/2021;1;https://www.revendadecalcados.com.br/produto-7235.html;https://www.revendadecalcados.com.br/fma600/46e5a512c6430ba24d8748a6eb7c2e2f.jpg,https://www.revendadecalcados.com.br/fma600/dab0ee8f93c0e18bc316e5b43a24c180.jpg,https://www.revendadecalcados.com.br/fma600/acab21a2789c3514dd07c77d1c5f7d0e.jpg,https://www.revendadecalcados.com.br/fma600/1e057ce3ef71794ace81dfdda3c441ea.jpg,https://www.revendadecalcados.com.br/fma600/3bfac731f957bba99107b2a0b7d27adc.jpg
FST030D;Sand�lia Tamanco Feminino;Sand�lias;34,8|35,10|36,10|37,10|38,10|39,9;49.90;54.89;0;Torricella;Material: Napa Azul<br />Enfeite: La�os em Napa Azul<br />Palmilha: 8 mm de Espessura, Espuma em EVA, Revestida em Napa Azul e Taloneira Napa Bege<br />Salto: 9,5 cm de Altura e Revestido em Napa Azul<br />Solado de PVC com antiderrapante na cor Bege.;28 x 20 x 9.5;600;25/10/2021;1;https://www.revendadecalcados.com.br/produto-7230.html;https://www.revendadecalcados.com.br/fma600/b2127564288ab29e32ba839890003faa.jpg,https://www.revendadecalcados.com.br/fma600/26b5c80dce61b653dbce7d85994fd8ab.jpg,https://www.revendadecalcados.com.br/fma600/9029409572dd58199f5fc55df1fa17b1.jpg,https://www.revendadecalcados.com.br/fma600/7655b0b004331d810c305d6fd4e85efd.jpg,https://www.revendadecalcados.com.br/fma600/a0eeb345ad5ac1180ac37563f0e5e23d.jpg
FST030C;Sand�lia Tamanco Feminino;Sand�lias;34,8|35,10|36,10|37,10|38,10|39,9;49.90;54.89;0;Torricella;Material: Napa Rosa<br />Enfeite: La�os em Napa Rosa<br />Palmilha: 8 mm de Espessura, Espuma em EVA, Revestida em Napa Rosa e Taloneira Napa Bege<br />Salto: 9,5 cm de Altura e Revestido em Napa Rosa<br />Solado de PVC com antiderrapante na cor Bege.;28 x 20 x 9.5;600;25/10/2021;1;https://www.revendadecalcados.com.br/produto-7229.html;https://www.revendadecalcados.com.br/fma600/f522c08f536b3df94caa289f4e288f2a.jpg,https://www.revendadecalcados.com.br/fma600/de157ea7380d1f8193f0a03a96be60f3.jpg,https://www.revendadecalcados.com.br/fma600/12f01c178de15ef7852431a4aba8c41d.jpg,https://www.revendadecalcados.com.br/fma600/a64a66ba17e51657122ea6f4a9fddea7.jpg,https://www.revendadecalcados.com.br/fma600/ab0ebdede50348ec9f673e9ce583e48d.jpg
FST030B;Sand�lia Tamanco Feminino;Sand�lias;34,6|35,10|36,10|37,10|38,10|39,4;49.90;54.89;0;Torricella;Material: Napa Branco<br />Enfeite: La�os em Napa Branco<br />Palmilha: 8 mm de Espessura, Espuma em EVA, Revestida em Napa Branco e Taloneira Napa Bege<br />Salto: 9,5 cm de Altura e Revestido em Napa Branco<br />Solado de PVC com antiderrapante na cor Bege.;28 x 20 x 9.5;600;25/10/2021;1;https://www.revendadecalcados.com.br/produto-7227.html;https://www.revendadecalcados.com.br/fma600/fbff90df48996a4d76b8e944f6d4a55f.jpg,https://www.revendadecalcados.com.br/fma600/6619753490e01a2c31acb04582576759.jpg,https://www.revendadecalcados.com.br/fma600/c1c2436f20f9813982e02be3828de286.jpg,https://www.revendadecalcados.com.br/fma600/26904126626df5b3a13624218b6f4e9e.jpg,https://www.revendadecalcados.com.br/fma600/c0c4fdfb55437f67dc2d78cf2c54c5d2.jpg
FST030A;Sand�lia Tamanco Feminino;Sand�lias;34,10|35,10|36,10|37,9|38,10|39,7;49.90;54.89;0;Torricella;Material: Napa Preto<br />Enfeite: La�os em Napa Preto<br />Palmilha: 8 mm de Espessura, Espuma em EVA, Revestida em Napa Preto e Taloneira Napa Bege<br />Salto: 9,5 cm de Altura e Revestido em Napa Preto<br />Solado de PVC com antiderrapante na cor Preto.;28 x 20 x 9.5;600;25/10/2021;1;https://www.revendadecalcados.com.br/produto-7226.html;https://www.revendadecalcados.com.br/fma600/6ae09d0da84f850aa2e218b52da9267e.jpg,https://www.revendadecalcados.com.br/fma600/d13ee1a820407287a361b6fed11d0f9b.jpg,https://www.revendadecalcados.com.br/fma600/501a8107ad12c3df4f4b1b2cedb4ac3b.jpg,https://www.revendadecalcados.com.br/fma600/0b3c3687ce5c14d3913e63e554f86c46.jpg,https://www.revendadecalcados.com.br/fma600/cbdbe40431716f1f99a9ff25575592e8.jpg
SC017D;Sapato Scarpin;Sapato Scarpin;33,4|34,6|35,10|36,10|37,9|38,10|39,5|40,6;76.90;84.59;0;Torricella;Material: Napa Preto / Vinil<br />Enfeite: Tira em Napa Preto com Fivela na cor Dourado<br />Palmilha: 8 mm de Espessura, Espuma em EVA, Revestida em Napa Preto e Taloneira Napa Bege<br />Salto: 7 cm de Altura e Revestido em Napa Preto<br />Solado de Micro na cor Preto.;28 x 20 x 9.5;600;11/11/2021;0;https://www.revendadecalcados.com.br/produto-7328.html;https://www.revendadecalcados.com.br/fma600/c74b48281e051b69c4a5de61baeda528.jpg,https://www.revendadecalcados.com.br/fma600/89141a0f6e0975f77f31d6f2b393e703.jpg,https://www.revendadecalcados.com.br/fma600/caedfa5b50cc6f0e99c96e60e1f27ae6.jpg,https://www.revendadecalcados.com.br/fma600/5046eb2856eab62d30cad563d86ebe61.jpg,https://www.revendadecalcados.com.br/fma600/4f2b587bb8f33f975d3510268d868ab8.jpg
SC004F;Sapato Scarpin;Sapato Scarpin;33,6|34,4|35,10|36,10|37,7|38,10|39,3|40,5;76.90;84.59;0;Torricella;Material: Verniz Preto / Vinil<br />Enfeite: Cord�o em Verniz Preto<br />Palmilha: 8 mm de Espessura, Espuma em EVA, Revestida em Verniz Preto e Taloneira Napa Bege<br />Salto: 7 cm de Altura e Revestido em Verniz Preto<br />Solado de Micro na cor Bege.;28 x 20 x 9.5;600;11/11/2021;0;https://www.revendadecalcados.com.br/produto-7327.html;https://www.revendadecalcados.com.br/fma600/678764704819572d4505ff6c2097fff4.jpg,https://www.revendadecalcados.com.br/fma600/5314531d8fa3600abc0e849dde954bf8.jpg,https://www.revendadecalcados.com.br/fma600/de8f788fab823633bb1a1710c67fa969.jpg,https://www.revendadecalcados.com.br/fma600/4f1a1b8be03cfccbd1a665fb182ee04b.jpg,https://www.revendadecalcados.com.br/fma600/ec8d6ab72c4f8ceb6ba38c51f726a813.jpg,https://www.revendadecalcados.com.br/fma600/d1283cc4ed139ae1a36d70e387595c5d.jpg
SC004I;Sapato Scarpin;Sapato Scarpin;33,6|34,6|35,10|36,10|37,8|38,10|39,6|40,6;76.90;84.59;0;Torricella;Material: Verniz Vermelho Vinho / Vinil<br />Enfeite: Cord�o em Verniz Vermelho Vinho<br />Palmilha: 8 mm de Espessura, Espuma em EVA, Revestida em Verniz Vermelho Vinho e Taloneira Napa Bege<br />Salto: 7 cm de Altura e Revestido em Verniz Vermelho Vinho<br />Solado de Micro na cor Bege.;28 x 20 x 9.5;600;11/11/2021;0;https://www.revendadecalcados.com.br/produto-7326.html;https://www.revendadecalcados.com.br/fma600/0e0dbc44e01bd91671b7b593e5c86dfa.jpg,https://www.revendadecalcados.com.br/fma600/b59ba9ecb52a2737e0ca0aebb0cbfd9c.jpg,https://www.revendadecalcados.com.br/fma600/29b9d8c6018beb06fafc2a29b3cc045f.jpg,https://www.revendadecalcados.com.br/fma600/7472e5687f0ffb3fdc9ebb3b71c3d144.jpg,https://www.revendadecalcados.com.br/fma600/10f04844759f99a8ca5388af39edaa57.jpg,https://www.revendadecalcados.com.br/fma600/a8cb5d14e70ed8bdc2010a450f361677.jpg
SC004E;Sapato Scarpin;Sapato Scarpin;33,6|34,6|35,10|36,10|37,3|38,10|39,4|40,4;76.90;84.59;0;Torricella;Material: Verniz Bege / Vinil<br />Enfeite: Cord�o em Verniz Bege<br />Palmilha: 8 mm de Espessura, Espuma em EVA, Revestida em Verniz Bege e Taloneira Napa Bege<br />Salto: 7 cm de Altura e Revestido em Verniz Bege<br />Solado de Micro na cor Bege.;28 x 20 x 9.5;600;11/11/2021;0;https://www.revendadecalcados.com.br/produto-7325.html;https://www.revendadecalcados.com.br/fma600/f9c3bc997ca9176fba7107532aff46a6.jpg,https://www.revendadecalcados.com.br/fma600/bb36d58b3f42daef3ab188672e64281c.jpg,https://www.revendadecalcados.com.br/fma600/52db3f4342b56e809670bf7fb1a6c436.jpg,https://www.revendadecalcados.com.br/fma600/19f6707979d0eca240e46d75c247c793.jpg,https://www.revendadecalcados.com.br/fma600/7bbfc6eb732beb665ec518d77a3daaf1.jpg,https://www.revendadecalcados.com.br/fma600/8598e0f7b98e908310f3dfd06d163dfc.jpg
SC004J;Sapato Scarpin;Sapato Scarpin;33,6|34,6|35,10|36,10|37,7|38,10|39,6|40,5;76.90;84.59;0;Torricella;Material: Verniz Lil�s / Vinil<br />Enfeite: Cord�o em Verniz Lil�s<br />Palmilha: 8 mm de Espessura, Espuma em EVA, Revestida em Verniz Lil�s e Taloneira Napa Bege<br />Salto: 7 cm de Altura e Revestido em Verniz Lil�s<br />Solado de Micro na cor Bege.;28 x 20 x 9.5;600;11/11/2021;0;https://www.revendadecalcados.com.br/produto-7324.html;https://www.revendadecalcados.com.br/fma600/a5c6e919e55158304f7599ff6e47726e.jpg,https://www.revendadecalcados.com.br/fma600/27fb87cf79c9180906b1a8d334c673ec.jpg,https://www.revendadecalcados.com.br/fma600/cbe2cef4066c406eaa555b6dc5d33ca7.jpg,https://www.revendadecalcados.com.br/fma600/e58a3ec5ef26ce241c34de580cdb91b8.jpg,https://www.revendadecalcados.com.br/fma600/ee77cdc1d00fb35693a3a74b8f9415bc.jpg,https://www.revendadecalcados.com.br/fma600/29dcd112635b3280946bb5964645b0d0.jpg
SC004H;Sapato Scarpin;Sapato Scarpin;33,6|34,5|35,10|36,10|37,10|38,10|39,6|40,4;76.90;84.59;0;Torricella;Material: Verniz Azul / Vinil<br />Enfeite: Cord�o em Verniz Azul<br />Palmilha: 8 mm de Espessura, Espuma em EVA, Revestida em Verniz Azul e Taloneira Napa Bege<br />Salto: 7 cm de Altura e Revestido em Verniz Azul<br />Solado de Micro na cor Bege.;28 x 20 x 9.5;600;11/11/2021;0;https://www.revendadecalcados.com.br/produto-7323.html;https://www.revendadecalcados.com.br/fma600/38be608005374741fb69e7dbf2714524.jpg,https://www.revendadecalcados.com.br/fma600/dd52d3748114e95d0e5251697972206c.jpg,https://www.revendadecalcados.com.br/fma600/281b3261c5d669bfc2a2eeb9e6099f5e.jpg,https://www.revendadecalcados.com.br/fma600/de5d5889d065429673221a0eb337667c.jpg,https://www.revendadecalcados.com.br/fma600/91e17ccbd6c438ef634d60c1f6fc8211.jpg,https://www.revendadecalcados.com.br/fma600/68c6e66ef019b0be3ba1b920ab7bbf6f.jpg
SC017B;Sapato Scarpin;Sapato Scarpin;33,6|34,6|35,10|36,10|37,9|38,10|39,5|40,6;76.90;84.59;0;Torricella;Material: Napa Vermelho / Vinil<br />Enfeite: Tira em Napa Vermelho com Fivela na cor Dourado<br />Palmilha: 8 mm de Espessura, Espuma em EVA, Revestida em Napa Vermelho e Taloneira Napa Bege<br />Salto: 7 cm de Altura e Revestido em Napa Vermelho<br />Solado de Micro na cor Bege.;28 x 20 x 9.5;600;04/11/2021;0;https://www.revendadecalcados.com.br/produto-7276.html;https://www.revendadecalcados.com.br/fma600/852f0828dd1ae5eef62e6194bad4c4ed.jpg,https://www.revendadecalcados.com.br/fma600/de06c385c79402844fcca29ef671425e.jpg,https://www.revendadecalcados.com.br/fma600/bfe2b93fa58e679fc7cec47f0b39a717.jpg,https://www.revendadecalcados.com.br/fma600/b6d69c81810ef7e6cdb33cebe3b5ad3d.jpg,https://www.revendadecalcados.com.br/fma600/844524e3bfac138114f66d827076db89.jpg
SC017C;Sapato Scarpin;Sapato Scarpin;33,5|34,6|35,10|36,10|37,8|38,10|39,6|40,5;76.90;84.59;0;Torricella;Material: Napa Bege / Vinil<br />Enfeite: Tira em Napa Bege com Fivela na cor Dourado<br />Palmilha: 8 mm de Espessura, Espuma em EVA, Revestida em Napa Bege e Taloneira Napa Bege<br />Salto: 7 cm de Altura e Revestido em Napa Bege<br />Solado de Micro na cor Bege.;28 x 20 x 9.5;600;04/11/2021;0;https://www.revendadecalcados.com.br/produto-7275.html;https://www.revendadecalcados.com.br/fma600/9b2435e4faa26f2d208f94817fc8d90e.jpg,https://www.revendadecalcados.com.br/fma600/514384cdeae46e8fd4bcc0f4913b4cc2.jpg,https://www.revendadecalcados.com.br/fma600/d24f9128585b240d17a8aade7b875b14.jpg,https://www.revendadecalcados.com.br/fma600/f543a7b96d098ddf8b7e0facc47b0010.jpg,https://www.revendadecalcados.com.br/fma600/9beb364a8f57063f9cf7717e2a6e5d7f.jpg
SC017A;Sapato Scarpin;Sapato Scarpin;33,6|34,3|35,10|36,10|37,9|38,8|39,6|40,6;76.90;84.59;0;Torricella;Material: Napa Branco / Vinil<br />Enfeite: Tira em Napa Branco com Fivela na cor Dourado<br />Palmilha: 8 mm de Espessura, Espuma em EVA, Revestida em Napa Branco e Taloneira Napa Bege<br />Salto: 7 cm de Altura e Revestido em Napa Branco<br />Solado de Micro na cor Bege.;28 x 20 x 9.5;600;04/11/2021;0;https://www.revendadecalcados.com.br/produto-7274.html;https://www.revendadecalcados.com.br/fma600/84e527289fe35c43d24de2cda320e9a9.jpg,https://www.revendadecalcados.com.br/fma600/4bcabce5906f89ef31843bd8dc2464ba.jpg,https://www.revendadecalcados.com.br/fma600/cb8dd5514a6f50ace54e65316ff15d9c.jpg,https://www.revendadecalcados.com.br/fma600/c55db420f4bd69996109248a4ae92eab.jpg,https://www.revendadecalcados.com.br/fma600/366410ff50165e3e520af3f15b3d5dbd.jpg
SC004D;Sapato Scarpin;Sapato Scarpin;33,4|34,5|35,10|36,10|37,7|38,9|39,4|40,4;76.90;84.59;0;Torricella;Material: Camur�a Preto / Vinil<br />Enfeite: Cord�o em Camur�a Preto<br />Palmilha: 8 mm de Espessura, Espuma em EVA, Revestida em Camur�a Preto e Taloneira Napa Bege<br />Salto: 7 cm de Altura e Revestido em Camur�a Preto<br />Solado de Micro na cor Preto.;28 x 20 x 9.5;600;04/11/2021;0;https://www.revendadecalcados.com.br/produto-7273.html;https://www.revendadecalcados.com.br/fma600/40bc1bf085b83d7a52603f5acf76d2b4.jpg,https://www.revendadecalcados.com.br/fma600/55df84c6b093100731a71b1f8b930466.jpg,https://www.revendadecalcados.com.br/fma600/a33426159f211fe547e9281bae5d5202.jpg,https://www.revendadecalcados.com.br/fma600/592b2be6b10ba8e923bf5e63d7dffae6.jpg,https://www.revendadecalcados.com.br/fma600/6b6121a7a6213c35c0310ae099854a75.jpg,https://www.revendadecalcados.com.br/fma600/2bb0b7867b030f3fb4dbbd2a1f713b3a.jpg
SC004C;Sapato Scarpin;Sapato Scarpin;33,6|34,6|35,10|36,10|37,10|38,10|39,5|40,6;76.90;84.59;0;Torricella;Material: Camur�a Vermelho / Vinil<br />Enfeite: Cord�o em Camur�a Vermelho<br />Palmilha: 8 mm de Espessura, Espuma em EVA, Revestida em Camur�a Vermelho e Taloneira Napa Bege<br />Salto: 7 cm de Altura e Revestido em Camur�a Vermelho<br />Solado de Micro na cor Bege.;28 x 20 x 9.5;600;04/11/2021;0;https://www.revendadecalcados.com.br/produto-7272.html;https://www.revendadecalcados.com.br/fma600/545a488adf1ab1a2e22513bfc27362de.jpg,https://www.revendadecalcados.com.br/fma600/eae381ec02364602a7893848bd76d8b1.jpg,https://www.revendadecalcados.com.br/fma600/11faa8e173e19ec20d5fc6d15f6ba03b.jpg,https://www.revendadecalcados.com.br/fma600/01d8e0f53790c58775be7f82ac00508f.jpg,https://www.revendadecalcados.com.br/fma600/34ab27cf9897401e532efc805a317c47.jpg,https://www.revendadecalcados.com.br/fma600/634d6e4152ad688e612dc16f8d5bc55c.jpg
